command_id,opcode,logical_id,slice_id,channel,chip,die,plane,stage,subrequest_state,channel_state,chip_state,plane_state,start_cycle,end_cycle,duration_cycles
0,READ_COMPUTE,0,-1,0,0,0,0,SSDSIM_CA_TRANSFER,SR_R_C_A_TRANSFER,CHANNEL_C_A_TRANSFER,CHIP_C_A_TRANSFER,PLANE_CMD_LATCH,0,7,7
0,READ_COMPUTE,0,-1,0,0,0,0,IFC_VECTOR_TRANSFER,SR_IFC_VECTOR_TRANSFER,CHANNEL_DATA_TRANSFER,CHIP_DATA_TRANSFER,PLANE_INPUT_LATCH,7,263,256
0,READ_COMPUTE,0,-1,0,0,0,0,SSDSIM_ARRAY_READ,SR_R_READ,CHANNEL_IDLE,CHIP_READ_BUSY,PLANE_ARRAY_BUSY,263,30263,30000
0,READ_COMPUTE,0,-1,0,0,0,0,IFC_COMPUTE,SR_IFC_COMPUTE,CHANNEL_IDLE,CHIP_IFC_COMPUTE,PLANE_IFC_COMPUTE,30263,31287,1024
1,READ_COMPUTE,0,-1,1,0,0,0,SSDSIM_CA_TRANSFER,SR_R_C_A_TRANSFER,CHANNEL_C_A_TRANSFER,CHIP_C_A_TRANSFER,PLANE_CMD_LATCH,0,7,7
1,READ_COMPUTE,0,-1,1,0,0,0,IFC_VECTOR_TRANSFER,SR_IFC_VECTOR_TRANSFER,CHANNEL_DATA_TRANSFER,CHIP_DATA_TRANSFER,PLANE_INPUT_LATCH,7,263,256
1,READ_COMPUTE,0,-1,1,0,0,0,SSDSIM_ARRAY_READ,SR_R_READ,CHANNEL_IDLE,CHIP_READ_BUSY,PLANE_ARRAY_BUSY,263,30263,30000
1,READ_COMPUTE,0,-1,1,0,0,0,IFC_COMPUTE,SR_IFC_COMPUTE,CHANNEL_IDLE,CHIP_IFC_COMPUTE,PLANE_IFC_COMPUTE,30263,31287,1024
2,READ_COMPUTE,0,-1,2,0,0,0,SSDSIM_CA_TRANSFER,SR_R_C_A_TRANSFER,CHANNEL_C_A_TRANSFER,CHIP_C_A_TRANSFER,PLANE_CMD_LATCH,0,7,7
2,READ_COMPUTE,0,-1,2,0,0,0,IFC_VECTOR_TRANSFER,SR_IFC_VECTOR_TRANSFER,CHANNEL_DATA_TRANSFER,CHIP_DATA_TRANSFER,PLANE_INPUT_LATCH,7,263,256
2,READ_COMPUTE,0,-1,2,0,0,0,SSDSIM_ARRAY_READ,SR_R_READ,CHANNEL_IDLE,CHIP_READ_BUSY,PLANE_ARRAY_BUSY,263,30263,30000
2,READ_COMPUTE,0,-1,2,0,0,0,IFC_COMPUTE,SR_IFC_COMPUTE,CHANNEL_IDLE,CHIP_IFC_COMPUTE,PLANE_IFC_COMPUTE,30263,31287,1024
3,READ_COMPUTE,0,-1,3,0,0,0,SSDSIM_CA_TRANSFER,SR_R_C_A_TRANSFER,CHANNEL_C_A_TRANSFER,CHIP_C_A_TRANSFER,PLANE_CMD_LATCH,0,7,7
3,READ_COMPUTE,0,-1,3,0,0,0,IFC_VECTOR_TRANSFER,SR_IFC_VECTOR_TRANSFER,CHANNEL_DATA_TRANSFER,CHIP_DATA_TRANSFER,PLANE_INPUT_LATCH,7,263,256
3,READ_COMPUTE,0,-1,3,0,0,0,SSDSIM_ARRAY_READ,SR_R_READ,CHANNEL_IDLE,CHIP_READ_BUSY,PLANE_ARRAY_BUSY,263,30263,30000
3,READ_COMPUTE,0,-1,3,0,0,0,IFC_COMPUTE,SR_IFC_COMPUTE,CHANNEL_IDLE,CHIP_IFC_COMPUTE,PLANE_IFC_COMPUTE,30263,31287,1024
4,READ_COMPUTE,0,-1,4,0,0,0,SSDSIM_CA_TRANSFER,SR_R_C_A_TRANSFER,CHANNEL_C_A_TRANSFER,CHIP_C_A_TRANSFER,PLANE_CMD_LATCH,0,7,7
4,READ_COMPUTE,0,-1,4,0,0,0,IFC_VECTOR_TRANSFER,SR_IFC_VECTOR_TRANSFER,CHANNEL_DATA_TRANSFER,CHIP_DATA_TRANSFER,PLANE_INPUT_LATCH,7,263,256
4,READ_COMPUTE,0,-1,4,0,0,0,SSDSIM_ARRAY_READ,SR_R_READ,CHANNEL_IDLE,CHIP_READ_BUSY,PLANE_ARRAY_BUSY,263,30263,30000
4,READ_COMPUTE,0,-1,4,0,0,0,IFC_COMPUTE,SR_IFC_COMPUTE,CHANNEL_IDLE,CHIP_IFC_COMPUTE,PLANE_IFC_COMPUTE,30263,31287,1024
